Season ;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA
2016;05.11.2016;Ingolstadt;Augsburg;0;2;A;0;0;D;14;13;5;5;15;14;3;6;2;1;1;0;2,1;3,3;3,75;2,15;3,2;3,7
2016;05.11.2016;Leverkusen;Darmstadt;3;2;H;1;0;H;12;6;4;3;10;10;6;5;0;1;0;0;1,25;5,75;13;1,26;6;11
2016;06.11.2016;RB Leipzig;Mainz;3;1;H;3;0;H;15;11;5;3;13;12;3;6;0;3;0;0;1,57;3,8;6,5;1,57;4;6
2016;06.11.2016;Schalke 04;Werder Bremen;3;1;H;2;1;H;24;8;6;5;13;14;3;6;2;3;0;0;1,53;4,33;6;1,57;4,33;5,5
2016;18.11.2016;Leverkusen;RB Leipzig;2;3;A;2;1;H;12;11;6;4;13;15;6;9;1;3;0;0;2,3;3,4;3,1;2,3;3,4;3,3
2016;19.11.2016;Augsburg;Hertha;0;0;D;0;0;D;9;10;3;4;14;16;4;3;3;1;0;0;2,7;3,2;2,75;2,7;3,2;2,75
2016;19.11.2016;Darmstadt;Ingolstadt;0;1;A;0;0;D;18;15;4;7;19;15;8;11;1;4;0;0;3;3,1;2,55;2,9;3,2;2,55
2016;19.11.2016;Dortmund;Bayern Munich;1;0;H;1;0;H;11;18;4;3;14;14;3;9;3;2;0;0;3,4;3,6;2,1;3,5;3,5;2,1
2016;19.11.2016;Mainz;Freiburg;4;2;H;2;0;H;11;24;6;11;21;21;3;5;4;3;0;0;2,1;3,5;3,5;2,15;3,3;3,5
2016;19.11.2016;M'gladbach;FC Koln;1;2;A;1;0;H;20;11;8;4;7;22;7;3;1;5;0;0;2,2;3,3;3,4;2,2;3,4;3,3
2016;19.11.2016;Wolfsburg;Schalke 04;0;1;A;0;0;D;8;19;0;4;17;16;3;5;2;2;0;0;2,4;3,5;2,9;2,5;3,4;2,8
2016;20.11.2016;Hoffenheim;Hamburg;2;2;D;1;1;D;18;14;5;4;12;25;8;6;1;2;0;0;1,62;4;5,5;1,57;4,33;5,5
2016;20.11.2016;Werder Bremen;Ein Frankfurt;1;2;A;1;0;H;14;19;4;9;23;18;3;6;1;2;0;0;2,7;3,5;2,55;2,7;3,5;2,55
2016;25.11.2016;Freiburg;RB Leipzig;1;4;A;1;3;A;9;16;3;7;10;16;4;5;2;3;0;0;3,8;3,6;1,95;3,9;3,6;1,95
2016;26.11.2016;Bayern Munich;Leverkusen;2;1;H;1;1;D;13;13;8;4;8;11;6;3;0;0;0;0;1,29;6;10;1,3;6;8,5
2016;26.11.2016;Ein Frankfurt;Dortmund;2;1;H;0;0;D;12;12;4;5;18;13;4;5;4;3;0;0;4,75;4,2;1,65;4,75;4;1,7
2016;26.11.2016;FC Koln;Augsburg;0;0;D;0;0;D;18;13;5;2;13;15;3;5;2;3;0;0;1,75;3,5;5,25;1,75;3,6;5
2016;26.11.2016;Hamburg;Werder Bremen;2;2;D;2;2;D;17;12;7;4;17;12;5;3;2;3;0;0;2,38;3,4;3;2,35;3,5;2,95
2016;26.11.2016;Ingolstadt;Wolfsburg;1;1;D;1;0;H;20;11;5;3;12;19;4;5;2;1;0;0;2,9;3,3;2,5;2,8;3,3;2,55
2016;26.11.2016;M'gladbach;Hoffenheim;1;1;D;1;0;H;16;15;8;4;8;17;2;6;0;2;0;0;2;3,6;3,75;2;3,6;3,7
2016;27.11.2016;Hertha;Mainz;2;1;H;1;1;D;16;9;5;4;12;23;5;3;1;0;1;1;2;3,5;3,8;2;3,5;3,8
2016;27.11.2016;Schalke 04;Darmstadt;3;1;H;1;1;D;20;9;7;2;8;13;5;6;0;2;0;0;1,33;5;10;1,36;5;8,5
2016;02.12.2016;Mainz;Bayern Munich;1;3;A;1;2;A;9;15;3;6;12;13;1;5;3;2;0;0;10;5,75;1,29;11;6,25;1,28
2016;03.12.2016;Dortmund;M'gladbach;4;1;H;2;1;H;15;3;7;1;10;10;9;3;1;1;0;0;1,5;4,5;6,5;1,48;4,4;6,75
2016;03.12.2016;Hoffenheim;FC Koln;4;0;H;2;0;H;10;10;6;1;14;11;3;4;1;1;0;0;2,1;3,4;3,6;2,1;3,5;3,5
2016;03.12.2016;Leverkusen;Freiburg;1;1;D;0;1;A;13;10;6;2;10;10;4;3;0;1;0;0;1,5;4,2;7;1,5;4,33;6,5
2016;03.12.2016;RB Leipzig;Schalke 04;2;1;H;1;1;D;14;11;5;5;16;20;8;5;1;5;0;0;2;3,3;4;2;3,5;3,75
2016;03.12.2016;Werder Bremen;Ingolstadt;2;1;H;1;0;H;14;15;5;5;18;16;3;4;0;3;0;0;2,5;3,3;2,9;2,45;3,3;2,95
2016;03.12.2016;Wolfsburg;Hertha;2;3;A;2;1;H;6;18;4;8;21;9;0;2;3;2;1;0;2,1;3,2;3,8;2,05;3,4;3,75
2016;04.12.2016;Augsburg;Ein Frankfurt;1;1;D;1;1;D;14;7;5;4;11;13;5;2;3;2;0;0;2,8;3;2,75;2,8;3,1;2,7
2016;04.12.2016;Darmstadt;Hamburg;0;2;A;0;1;A;10;21;2;5;16;24;1;4;2;4;0;0;2,7;3,1;2,8;2,7;3,3;2,65
